"anem_table_id","sample_id","size","anem_id","old_anem_id"
302,"APCL16_158",4.5,2257,NA
317,"APCL16_167",6,2258,NA
322,"APCL16_170",5.7,2259,NA
330,"APCL16_174",4.7,2261,NA
341,"APCL16_181",4,2265,NA
370,"APCL16_211",3.6,2278,NA
387,"APCL16_218",8.5,2282,NA
435,"APCL16_240",5.8,2292,NA
482,"APCL16_248",9.7,NA,NA
503,"APCL16_256",6.9,2029,NA
505,"APCL16_259",8.6,2294,NA
536,"APCL16_287",10.6,2306,701
540,"APCL16_292",5.9,2309,NA
573,"APCL16_319",5.2,2401,NA
574,"APCL16_325",7.6,NA,NA
585,"APCL16_331",4.1,2402,NA
604,"APCL16_340",8.9,2408,NA
612,"APCL16_349",4.9,2131,NA
617,"APCL16_353",8.7,2412,1092
618,"APCL16_359",7.8,NA,NA
619,"APCL16_365",8.1,NA,NA
654,"APCL16_380",7.2,2417,NA
658,"APCL16_384",7.8,2418,NA
668,"APCL16_390",7.6,2420,NA
688,"APCL16_396",6.5,2421,NA
708,"APCL16_402",6.2,2422,NA
709,"APCL16_407",7.6,NA,NA
748,"APCL16_412",8.1,2423,NA
749,"APCL16_418",6.5,NA,NA
792,"APCL16_422",4.6,2254,NA
793,"APCL16_426",4.9,2424,523
820,"APCL16_437",9.6,2426,NA
862,"APCL16_440",5.9,2428,NA
879,"APCL16_449",5.4,2433,938
891,"APCL16_457",6.2,2437,NA
894,"APCL16_461",4.1,2441,NA
900,"APCL16_470",7.2,2445,472
902,"APCL16_473",8.9,2446,NA
903,"APCL16_475",8.2,2447,954
904,"APCL16_482",5.6,2448,955
905,"APCL16_487",8.2,NA,NA
906,"APCL16_493",4.3,NA,NA
910,"APCL16_502",8.6,2451,NA
944,"APCL16_527",4.5,2469,600
946,"APCL16_528",6.6,2470,NA
963,"APCL16_533",5.2,2473,597
964,"APCL16_539",9.4,NA,NA
980,"APCL16_553",9,2481,NA
989,"APCL16_562",11,2477,873
1001,"APCL16_568",7.5,2490,428
1005,"APCL16_573",6.8,423,NA
1020,"APCL16_590",4,2069,NA
1021,"APCL16_594",3.5,2500,NA
